N,J,nrd,sec,code
1000,5000,2,82.058,0
1000,4500,2,65.32,0
1000,4000,2,55.876,0
1000,3500,2,49.126,0
1000,3000,2,34.893,0
1000,2500,2,28.406,0
1000,2000,2,20.896,0
1000,1500,2,15.617,0
1000,1000,2,8.749,0
1000,500,2,3.951,0
1000,100,2,0.932,0
1000,50,2,0.381,0
1000,10,2,0.105,-1
1000,5,2,0.081,0
1000,8000,2,119.768,0
1000,7000,2,104.652,0
1000,6000,2,79.517,-1
1000,9000,2,157.912,0
