"n","sec"
10,0.007000000000005
50,0
100,0
500,0.0739999999999839
1000,0.557999999999993
5000,73.919
100,0.00300000000015643
200,0.00500000000010914
300,0.0160000000000764
400,0.0370000000000346
500,0.0710000000001401
600,0.124000000000024
700,0.186999999999898
800,0.274999999999864
900,0.384999999999991
1000,0.546999999999798
1500,1.83199999999988
2000,4.85199999999986
2500,9.9090000000001
3000,17.268
3500,27.7429999999999
4000,38.672
4500,54.6779999999999
