N,J,nrd,sec,code
500,10,9,67.555,-1
500,10,8,48.86,0
500,10,7,22.728,0
500,10,6,11.652,0
500,10,5,6.343,0
500,10,4,3.252,0
500,10,3,0.816,0
500,10,2,0.178,0
50,100,12,133.553,0
50,100,11,89.841,0
50,100,10,56.806,0
50,100,9,34.099,-1
50,100,8,24.152,-1
50,100,7,10.195,0
50,100,6,7.901,0
50,100,5,3.759,0
50,100,4,1.822,0
50,100,3,0.81,0
50,100,2,0.12,0
50,100,13,209.685,0
50,100,14,165.178,0
50,100,15,281.262,-1
